frame,id,x,y
128,177,73,683
128,174,1864,738
128,166,201,418
128,129,535,431
128,161,805,440
128,187,1652,432
128,188,800,663
128,168,631,434
128,182,1740,432
128,183,319,414
128,189,691,600
128,190,724,428
128,179,1586,422
129,76,878,621
129,177,79,674
129,174,1863,741
129,166,225,418
129,161,825,438
129,129,557,431
129,191,1553,541
129,187,1668,428
129,182,1752,431
130,76,878,618
130,174,1842,719
130,166,246,419
130,177,90,678
130,161,840,438
130,129,574,432
130,187,1681,434
130,192,669,435
130,193,755,431
130,194,1610,429
131,174,1827,696
131,76,870,618
131,177,96,677
131,166,265,420
131,129,593,433
131,187,1691,434
131,195,29,505
131,192,686,436
131,193,772,433
131,196,1224,633
131,197,1777,431
131,198,1160,663
132,76,860,624
132,177,110,677
132,166,282,421
132,174,1816,676
132,129,607,432
132,199,1816,828
132,200,71,413
132,192,700,433
132,201,403,421
132,187,1705,436
132,202,1871,583
132,203,1079,423
133,76,865,627
133,174,1787,668
133,177,134,677
133,166,304,421
133,129,624,435
133,192,715,435
133,204,1190,662
133,205,58,519
133,200,94,413
133,187,1714,438
134,76,874,630
134,174,1759,658
134,177,155,673
134,166,323,426
134,129,643,437
134,206,815,437
134,207,438,423
134,200,118,415
134,208,992,426
